pa#ys	/\bpays\b/ui
supplé#er	/\bsuppléer\b/ui
supplé#ez	/\bsuppléez\b/ui
agré#ez	/\bagréez\b/ui
Albi#ane	/\bAlbiane\b/ui
Alci#at	/\bAlciat\b/ui
Amphi#on	/\bAmphion\b/ui
Anti#oche	/\bAntioche\b/ui
Anti#ochus	/\bAntiochus\b/ui
Arméni#en	/\bArménien\b/ui
avou#ez	/\bavouez\b/ui
avou#ez-en	/\bavouez-en\b/ui
avou#ez-vous	/\bavouez-vous\b/ui
Aéti#us	/\bAétius\b/ui
Bénéve#nt	/\bBénévent\b/ui
Cassi#us	/\bCassius\b/ui
Charmi#on	/\bCharmion\b/ui
Curi#ace	/\bCuriace\b/ui
Curi#aces	/\bCuriaces\b/ui
curi#osité	/\bcuriosité\b/ui
devri#ez	/\bdevriez\b/ui
Di#ane	/\bDiane\b/ui
Domiti#an	/\bDomitian\b/ui
Dé#esse	/\bDéesse\b/ui
défi#ance	/\bdéfiance\b/ui
déni#er	/\bdénier\b/ui
désavou#er	/\bdésavouer\b/ui
Elysi#ens	/\bElysiens\b/ui
envi#eux	/\benvieux\b/ui
Fabi#an	/\bFabian\b/ui
Fabi#ens	/\bFabiens\b/ui
fi#ez-vous	/\bfiez-vous\b/ui
Flamini#us	/\bFlaminius\b/ui
Flavi#an	/\bFlavian\b/ui
furi#eux	/\bfurieux\b/ui
Glabri#on	/\bGlabrion\b/ui
Gétuli#ens	/\bGétuliens\b/ui
Héracli#us	/\bHéraclius\b/ui
Ildi#one	/\bIldione\b/ui
illusi#on	/\billusion\b/ui
Illyri#ens	/\bIllyriens\b/ui
imaginati#ons	/\bimaginations\b/ui
impati#ents	/\bimpatients\b/ui
injuri#eux	/\binjurieux\b/ui
Ixi#on	/\bIxion\b/ui
jou#ir	/\bjouir\b/ui
jou#it	/\bjouit\b/ui
justeme#nt	/\bjustement\b/ui
justifi#er	/\bjustifier\b/ui
lou#ez	/\blouez\b/ui
lou#ez-en	/\blouez-en\b/ui
Lusitani#ens	/\bLusitaniens\b/ui
Léli#us	/\bLélius\b/ui
Macédoni#ens	/\bMacédoniens\b/ui
Mandoni#us	/\bMandonius\b/ui
Manli#us	/\bManlius\b/ui
Mari#us	/\bMarius\b/ui
mari#ée	/\bmariée\b/ui
Marti#an	/\bMartian\b/ui
